0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
120,31,33,30,30,33,30,30,46,49,30,67,68,56,71
88,43,43,43,43,43,43,43,55,54,43,97,82,69,103
302,45,35,35,32,36,35,35,62,49,35,66,68,74,60
446,49,42,41,38,41,41,41,70,52,41,98,84,87,101
95,16,16,16,16,16,16,16,18,17,16,21,19,19,20
263,44,37,36,33,36,36,36,65,47,36,73,79,82,85
95,16,16,16,16,16,16,16,18,17,16,21,19,19,20
274,47,34,34,31,35,34,34,61,48,34,65,69,68,61
271,46,39,38,35,38,38,38,67,49,38,95,81,84,98
361,46,36,36,33,37,36,36,63,50,36,67,69,75,61
200,33,30,29,30,29,29,29,61,44,29,56,59,67,62
344,35,37,35,34,35,36,36,58,50,35,87,70,65,88
220,41,32,30,34,31,30,30,54,39,30,70,51,65,66
346,35,35,35,35,35,35,35,51,37,35,79,70,69,79
345,36,36,37,37,37,37,37,52,48,37,77,58,60,65
214,39,37,36,34,36,36,36,61,49,36,98,82,89,105
189,40,35,34,31,34,34,34,58,47,34,73,80,79,80
340,31,31,31,31,32,31,31,47,42,31,72,52,54,61
243,30,30,30,30,31,30,30,46,41,30,71,51,53,60
211,35,26,24,28,25,24,24,30,29,24,29,31,31,32
446,49,49,48,48,49,48,48,62,58,48,74,67,70,74
237,37,41,41,38,37,41,41,57,47,41,84,63,58,82
252,36,36,36,36,36,36,36,49,44,36,84,71,61,72
346,35,35,35,35,35,35,35,51,37,35,79,70,69,79
313,46,37,35,39,36,35,35,61,56,35,81,82,71,95
243,30,30,30,30,31,30,30,46,41,30,71,51,53,60
86,48,52,52,49,48,52,52,68,58,52,104,87,73,96
133,24,24,24,24,25,24,24,48,34,24,48,50,54,48
266,42,37,36,33,36,36,36,60,49,36,75,82,81,82
95,16,16,16,16,16,16,16,18,17,16,21,19,19,20
237,37,41,41,38,37,41,41,57,47,41,84,63,58,82
469,28,30,28,27,28,29,29,53,43,28,79,59,61,69
469,35,34,34,34,35,34,34,47,37,34,50,41,55,47
155,108,106,107,107,108,107,107,117,115,107,155,141,131,143
74,35,35,35,35,35,35,35,46,45,35,99,100,73,91
239,46,46,46,46,46,46,46,64,50,46,85,58,79,79
325,45,35,35,32,36,35,35,62,49,35,66,68,74,60
86,48,52,52,49,48,52,52,68,58,52,104,87,73,96
222,32,34,32,31,32,33,33,55,47,32,84,67,62,86
126,88,92,92,89,88,92,92,108,98,92,135,114,109,133
172,82,86,86,83,82,86,86,102,92,86,138,121,107,130
178,80,82,80,79,80,81,81,103,95,80,131,110,110,137
222,32,34,32,31,32,33,33,55,47,32,84,67,62,86
191,33,31,30,31,30,30,30,61,45,30,60,66,72,63
120,31,33,30,30,33,30,30,46,49,30,67,68,56,71
88,43,43,43,43,43,43,43,55,54,43,97,82,69,103
302,45,35,35,32,36,35,35,62,49,35,66,68,74,60
446,49,42,41,38,41,41,41,70,52,41,98,84,87,101
95,16,16,16,16,16,16,16,18,17,16,21,19,19,20
263,44,37,36,33,36,36,36,65,47,36,73,79,82,85
95,16,16,16,16,16,16,16,18,17,16,21,19,19,20
274,47,34,34,31,35,34,34,61,48,34,65,69,68,61
271,46,39,38,35,38,38,38,67,49,38,95,81,84,98
361,46,36,36,33,37,36,36,63,50,36,67,69,75,61
200,33,30,29,30,29,29,29,61,44,29,56,59,67,62
344,35,37,35,34,35,36,36,58,50,35,87,70,65,88
220,41,32,30,34,31,30,30,54,39,30,70,51,65,66
346,35,35,35,35,35,35,35,51,37,35,79,70,69,79
345,36,36,37,37,37,37,37,52,48,37,77,58,60,65
214,39,37,36,34,36,36,36,61,49,36,98,82,89,105
189,40,35,34,31,34,34,34,58,47,34,73,80,79,80
340,31,31,31,31,32,31,31,47,42,31,72,52,54,61
243,30,30,30,30,31,30,30,46,41,30,71,51,53,60
211,35,26,24,28,25,24,24,30,29,24,29,31,31,32
446,49,49,48,48,49,48,48,62,58,48,74,67,70,74
237,37,41,41,38,37,41,41,57,47,41,84,63,58,82
252,36,36,36,36,36,36,36,49,44,36,84,71,61,72
346,35,35,35,35,35,35,35,51,37,35,79,70,69,79
313,46,37,35,39,36,35,35,61,56,35,81,82,71,95
243,30,30,30,30,31,30,30,46,41,30,71,51,53,60
86,48,52,52,49,48,52,52,68,58,52,104,87,73,96
133,24,24,24,24,25,24,24,48,34,24,48,50,54,48
266,42,37,36,33,36,36,36,60,49,36,75,82,81,82
95,16,16,16,16,16,16,16,18,17,16,21,19,19,20
237,37,41,41,38,37,41,41,57,47,41,84,63,58,82
469,28,30,28,27,28,29,29,53,43,28,79,59,61,69
469,35,34,34,34,35,34,34,47,37,34,50,41,55,47
155,108,106,107,107,108,107,107,117,115,107,155,141,131,143
74,35,35,35,35,35,35,35,46,45,35,99,100,73,91
239,46,46,46,46,46,46,46,64,50,46,85,58,79,79
325,45,35,35,32,36,35,35,62,49,35,66,68,74,60
86,48,52,52,49,48,52,52,68,58,52,104,87,73,96
222,32,34,32,31,32,33,33,55,47,32,84,67,62,86
126,88,92,92,89,88,92,92,108,98,92,135,114,109,133
172,82,86,86,83,82,86,86,102,92,86,138,121,107,130
178,80,82,80,79,80,81,81,103,95,80,131,110,110,137
222,32,34,32,31,32,33,33,55,47,32,84,67,62,86
191,33,31,30,31,30,30,30,61,45,30,60,66,72,63
